file	n_pages_livestock	n_pages_sheep	n_pages_cattle	n_pages_trampl	n_pages_graz	n_pages_sedi	n_pages_qual	n_hits	n_pages
/datadrive/data/ESAdocs/federal_register/2012-24019.pdf	8	4	1	0	42	18	18	91	80
/datadrive/data/ESAdocs/federal_register/2012-24161.pdf	3	0	1	0	36	19	20	79	57
/datadrive/data/ESAdocs/federal_register/2012-24300.pdf	0	0	0	0	24	1	0	25	28
/datadrive/data/ESAdocs/federal_register/2012-24465.pdf	1	0	1	6	70	0	2	80	122
/datadrive/data/ESAdocs/federal_register/2012-24466.pdf	0	0	0	3	29	5	1	38	60
/datadrive/data/ESAdocs/federal_register/2012-24468.pdf	14	2	5	0	41	21	34	117	66
/datadrive/data/ESAdocs/federal_register/2012-24550.pdf	3	10	13	13	63	11	5	118	92
/datadrive/data/ESAdocs/federal_register/2012-24594.pdf	0	0	0	0	3	0	0	3	3
/datadrive/data/ESAdocs/federal_register/2012-25578.pdf	0	0	0	0	16	2	5	23	29
/datadrive/data/ESAdocs/federal_register/2012-27310.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-28050.pdf	9	4	10	5	59	8	6	101	68
/datadrive/data/ESAdocs/federal_register/2012-28250.pdf	5	0	7	2	48	4	3	69	72
/datadrive/data/ESAdocs/federal_register/2012-28310.pdf	2	0	1	0	6	0	0	9	7
/datadrive/data/ESAdocs/federal_register/2012-28512.pdf	0	0	1	0	36	0	2	39	42
/datadrive/data/ESAdocs/federal_register/2012-28629.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-28714.pdf	1	0	1	0	152	2	11	167	194
/datadrive/data/ESAdocs/federal_register/2012-30348.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-30554.pdf	0	0	0	0	2	0	0	2	3
/datadrive/data/ESAdocs/federal_register/2012-30634.pdf	21	1	15	2	148	8	9	204	192
/datadrive/data/ESAdocs/federal_register/2012-30731.pdf	0	0	0	0	17	0	0	17	20
/datadrive/data/ESAdocs/federal_register/2012-30914.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-31011.pdf	0	0	0	0	2	0	0	2	2
/datadrive/data/ESAdocs/federal_register/2012-31095.pdf	1	0	6	0	11	0	0	18	14
